time_s,Bx_T,By_T,Bz_T,magnitude_T
1.900000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.920000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.940000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.960000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.980000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
2.000000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.020000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.040000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.060000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.080000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.100000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.120000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.140000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.160000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.180000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.200000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.220000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.240000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.260000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.280000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.300000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.320000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.340000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.360000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.380000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.400000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.420000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.440000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.460000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.480000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.500000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.520000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.540000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.560000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.580000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.600000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.620000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.640000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.660000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.680000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.700000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.720000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.740000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.760000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.780000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.800000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.820000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.840000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.860000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.880000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.900000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.920000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.940000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.960000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
2.980000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.000000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.020000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.040000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.060000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.080000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.100000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.120000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.140000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.160000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
3.180000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
